"title","Fund Owners","description","marketing_content","marketing_content_expiration","allocation_code","suggested_amount","featured_fund","active","campus","keywords","interest"
"University of Colorado Anschutz Shares Fund","","To provide emergency support for students at the University of Colorado Anschutz Medical Campus.
","To provide emergency support for students at the University of Colorado Anschutz Medical Campus.
","Sunday, March 1, 2020 to Monday, March 2, 2020","0223119","","1","1","CU Anschutz","Emergency Support","Scholarships & Student Success"
"Officer Garrett Swasey Scholarship","","UCCS Police Officer Garrett Swasey was tragically killed in the line of duty on November 28, 2015. This fund will permanently fund scholarships in his name and continue his legacy of giving back to UCCS.
To honor his spirit and contributions to the UCCS community, hundreds of individuals have contributed to the Officer Garrett Swasey Scholarship Fund and surpassed our initial goal of $50,000. This outpouring of support has inspired us to raise our goal to $100,000 and continue to broaden the impact of that legacy. Your generous contributions show that Officer Swasey’s courage will never be forgotten!


","","","0423900","","1","0","UCCS","","Scholarships & Student Success"
"Student Emergency Fund","","To provide support for CU Boulder students who are experiencing a crisis that could adversely affect their academic year.
","If you are or know of a student looking for support from the Student Emergency Fund, please visit colorado.edu/studentaffairs/student-emergency-fund for more information.
","","0125072","","1","1","CU Boulder","Campus Programs, Emergency Support","Community & Society"
"Bruce and Anne Shepard Reach Your Peak Scholarship Fund","","To provide need-based financial aid for students at the University of Colorado Colorado Springs.
","Reach Your Peak students have strong potential to succeed and the scholarship helps them make it to graduation.
Through December 31st, gifts to this fund will be matched dollar for dollar by a generous donor.
","","0421265","","1","1","UCCS","Office of Financial Aid","Scholarships & Student Success"
"UCCS Fund for Excellence","","To provide flexible support to address the campus's most promising priorities in support of enhancing student success and UCCS's prominence as an institution of higher education.
","An investment in UCCS is an investment in the southern Colorado community, the state and beyond.
","","0421003","","1","1","UCCS","Emergency Support","Scholarships & Student Success"
"University of Colorado Alzheimer’s and Cognition Center Fund","","To support the University of Colorado Alzheimer’s and Cognition Center at the University of Colorado Anschutz Medical Campus.
","To support the Rocky Mountain Alzheimer’s Disease Center at the Anschutz Medical Campus.
","Sunday, March 1, 2020 to Monday, March 2, 2020","0222578","","1","1","CU Anschutz","School of Medicine, Neurology","Science, Research & Innovation"
"Loving Lynx Emergency Fund","","To support students who encounter unexpected hardships and financial emergencies while pursuing degrees at CU Denver, at the discretion of the Dean of Students Office.
","To support students who encounter unexpected hardships and financial emergencies while pursuing degrees at CU Denver, at the discretion of the Dean of Students Office.
","Sunday, March 1, 2020 to Monday, March 2, 2020","0321822","","1","1","CU Denver","Emergency Support","Scholarships & Student Success"
"Office of Student Life Food Pantry Fund","","To provide non-perishable food to be accessed by qualifying student recipients on the University of Colorado Denver Campus.
","To provide non-perishable food to be accessed by qualifying student recipients on CU Denver Campus.
","Sunday, March 1, 2020 to Monday, March 2, 2020","0321793","","1","1","CU Denver","Office of Student Life, Food Pantry","Scholarships & Student Success"
"CU Denver Scholarship Fund","","To support general scholarships at the University of Colorado Denver.
","To browse other scholarship options, click here.
Gifts to the CU Denver Scholarship Fund will be matched to double your impact! 
As a result of a grant from the Colorado Opportunity Scholarship Initiative (COSI), the first $99,191 in gifts to the CU Denver Scholarship Fund will be matched 1:1.
","","0321201","","1","1","CU Denver","","Scholarships & Student Success"
"CU Anschutz Fund for Excellence","","To provide a flexible funding source to address CU Anschutz's most promising priorities in support of research, education and patient care.
","As the leading academic medical center in the Rocky Mountain region, CU Anschutz measures our success by helping patients live longer, better lives. Every contribution supporting the Fund for Excellence is put to work immediately to advance research, education and patient care.
Your tax-deductible gift will help us deliver the best care today, while reinventing the care of tomorrow.
If you’d like to search for more specific funding opportunities, please click here.
","","0221052","100","1","1","CU Anschutz","","Science, Research & Innovation"
"Financial Aid Endowment Fund - Need Based","","To provide scholarship support for students with demonstrated financial need at the University of Colorado Boulder.
","To provide scholarship support for students with demonstrated financial need at the University of Colorado Boulder.
","Sunday, March 1, 2020 to Monday, March 2, 2020","0154061","","1","1","CU Boulder","","Scholarships & Student Success"
"Medical Student Scholarship Fund","","To provide financial aid to School of Medicine students at the University of Colorado Anschutz Medical Campus.
","To provide financial aid to School of Medicine students at the University of Colorado Anschutz Medical Campus.
","Sunday, March 1, 2020 to Monday, March 2, 2020","0222209","","1","1","CU Anschutz","School of Medicine","Scholarships & Student Success"
"Cancer Research General Fund","","To support cancer research at the University of Colorado Anschutz Medical Campus.
","As the leading academic medical center in the Rocky Mountain region, CU Anschutz measures our success by helping patients live longer, better lives. Every contribution supporting the Fund for Excellence is put to work immediately to advance research, education and patient care at the CU Cancer Center.
Your tax-deductible gift will help us deliver the best care today, while reinventing the care of tomorrow.
If you’d like to search for more specific funding opportunities, please click here.
","","0221059","","1","0","CU Anschutz","School of Medicine, Cancer Center, Medicine, Medical Oncology","Science, Research & Innovation"
"Daniel L. Touff Memorial Scholarship Fund","Jeanie.Hunter@Colorado.EDU","To provide scholarships to juniors and seniors enrolled in the Department of Chemistry at CU Boulder in memory of Daniel L. Touff.
","","Friday, April 23, 2021","0151212","","0","1","CU Boulder","College of Arts and Sciences, Chemistry",""
"Seniors Creating Future Buffs Scholarship Endowment Fund","Jenna.Hurley@cu.edu","To provide need and merit-based scholarship support at the University of Colorado Boulder.
","","Friday, April 23, 2021","0131077","","0","1","CU Boulder","",""
"Bob and Pat Meyers Scholarship Fund","Jeanie.Hunter@Colorado.EDU","To provide scholarship support to the Department of Chemistry and Biochemistry at the University of Colorado Boulder.
","","Thursday, April 22, 2021","0123233","","0","1","CU Boulder","College of Arts and Sciences, Chemistry",""
"Teresa Fonseca Memorial Fund","Jeanie.Hunter@Colorado.EDU","To provide awards for undergraduate students who are chemistry majors enrolled in the Department of Chemistry at the University of Colorado Boulder. The award minimum will be $1,500.
","","Thursday, April 22, 2021","0150348","","0","1","CU Boulder","College of Arts and Sciences, Chemistry",""
"CU Hyperloop Support Fund","Shayla.DeYoung@colorado.edu","To provide support for the CU Hyperloop student group and their transportation and tunneling technology research in the College of Engineering and Applied Science at the University of Colorado Boulder.
","","Wednesday, April 21, 2021","0121712","","0","1","CU Boulder","College of Engineering and Applied Science","Science, Research & Innovation"
"Dr. Norman B. Marshall Memorial Fund","STACEY.BOEHMER@CUANSCHUTZ.EDU","To provide support for the University of Colorado Anschutz Medical Campus in memory of Dr. Norman B. Marshall.
","","Wednesday, April 21, 2021","0221566","","0","1","","",""
"Building Equity in Our Community of Academics (BECA) Fund","Jeanie.Hunter@Colorado.EDU","To provide support to underrepresented students majoring in Psychology and Neuroscience, who have completed or are completing their honor's thesis in the Department of Psychology and Neuroscience at the University of Colorado Boulder.
","","Wednesday, April 21, 2021","0121746","","0","1","CU Boulder","College of Arts and Sciences, Psychology and Neuroscience",""
"Endowed Fund for Innovation and Excellence in Jewish Studies","Christine.HerreraODell@Colorado.EDU","To provide support for the sustainability of the Program in Jewish Studies at CU Boulder and the continued elevation of the Program's profile; locally, nationally, and internationally.
","","Wednesday, April 21, 2021","0151669","","0","1","CU Boulder","College of Arts and Sciences, Jewish Studies","Community & Society"
"Dr. Rebecca Kantor Memorial Fund","jennifer.dailey@ucdenver.edu","To provide support for the School of Education and Human Development at the University of Colorado Denver in memory of Dean Rebecca Kantor.
","","Tuesday, April 20, 2021","0321025","","0","1","CU Denver","",""
"Marian Peebles Fitchette Scholarship","Jeanie.Hunter@Colorado.EDU","To provide scholarship support for the Department of Chemistry and Biochemistry at the University of Colorado Boulder.
","","Tuesday, April 20, 2021","0150823","","0","1","CU Boulder","College of Arts and Sciences, Chemistry",""
"Joseph Addison Sewall Scholarship Fund","Jeanie.Hunter@Colorado.EDU","To provide scholarships to needy and outstanding students enrolled in the Chemistry and Biochemistry Department at UCB in honor of Joseph Addison Sewall.
","","Tuesday, April 20, 2021","0158041","","0","1","CU Boulder","College of Arts and Sciences, Chemistry",""
"Patty Feist Teaching Assistant Award","Jeanie.Hunter@Colorado.EDU","To provide support for an award to be given to a teaching assistant in the organic chemistry lab at CU Boulder who has shown dedication to teaching.
","","Tuesday, April 20, 2021","0123463","","0","1","CU Boulder","College of Arts and Sciences, Chemistry",""
"Lorraine and Masui Toji Chemistry Fund","Jeanie.Hunter@Colorado.EDU","To provide summer research stipends for undergraduates and/or fund shared research instrumentation, subject to the discretion of the Chemistry Department's committee on undergraduate research at CU Boulder.
","To provide summer research stipends for undergraduates and/or fund shared research instrumentation, subject to the discretion of the Chemistry Department's committee on undergraduate research at CU Boulder.
","Tuesday, April 20, 2021","0154540","","0","1","CU Boulder","College of Arts and Sciences, Chemistry",""
"John S. Meek Graduate Teaching Award in Organic Chemistry","Jeanie.Hunter@Colorado.EDU","To provide graduate teaching awards in Organic Chemistry at the University of Colorado Boulder.
","","Tuesday, April 20, 2021","0150309","","0","1","CU Boulder","College of Arts and Sciences, Chemistry",""
"Johnson Beth-El Diversity Scholarship Fund","ddickers@uccs.edu","To provide support for scholarship awards for underrepresented students in the Helen and Arthur E. Johnson Beth-El College of Nursing and Health Sciences at UCCS. If 25,000 is reached, the fund will convert to an endowment.
","","Tuesday, April 20, 2021","0421044","","0","1","UCCS","Helen and Arthur E. Johnson Beth-El College of Nursing and Health Sciences","Scholarships & Student Success"
"Harold Walton Endowed Scholarship Fund","Jeanie.Hunter@Colorado.EDU","To provide support for scholarships in the Department of Chemistry at the University of Colorado Boulder.
","","Tuesday, April 20, 2021","0150759","","0","1","CU Boulder","College of Arts and Sciences, Chemistry",""
"Eugene H. Huffman Memorial Scholarship Fund","Jeanie.Hunter@Colorado.EDU","To provide funding for a laboratory in the Department of Chemistry at the University of Colorado Boulder in memory of Eugene H. Huffman.
","","Tuesday, April 20, 2021","0150069","","0","1","CU Boulder","College of Arts and Sciences, Chemistry",""
"Marion L. Sharrah Graduate Fellowship Fund","Jeanie.Hunter@Colorado.EDU","To provide a graduate fellowship annually in the Department of Chemistry at the University of Colorado Boulder.
","","Tuesday, April 20, 2021","0150219","","0","1","CU Boulder","College of Arts and Sciences, Chemistry",""
"John B. Ekeley Graduate Fellowship Fund","Jeanie.Hunter@Colorado.EDU","To provide a graduate fellowship in Chemistry at the University of Colorado Boulder, in memory of John B. Ekeley.
","","Tuesday, April 20, 2021","0150322","","0","1","CU Boulder","College of Arts and Sciences, Chemistry",""
"Thomas Lee Weatherly M.D. Fund","Jeanie.Hunter@Colorado.EDU","To provide support for the Department of Chemistry at the University of Colorado Boulder.
","","Tuesday, April 20, 2021","0159046","","0","1","CU Boulder","College of Arts and Sciences, Chemistry",""
"Ron Wisner Endowed Human Spirit and Leadership Award Fund","ddickers@uccs.edu","To provide annual awards to undergraduate students who are attending UCCS and demonstrate outstanding leadership skills and exemplify the vision, integrity and leadership ideals of Ron Wisner.
","","Tuesday, April 20, 2021","0450092","","0","1","UCCS","Office of Financial Aid","Scholarships & Student Success"
"Susan Sue Hartley Memorial Fund for Cancer Research","STACEY.BOEHMER@CUANSCHUTZ.EDU","To provide support for cancer research at the University of Colorado Anschutz Medical Campus in memory of Sue Hartley.
","","Friday, April 16, 2021","0221559","","0","1","CU Anschutz","",""
"Frederic C. Hamilton Macular Degeneration Center Fund","EMILY.SPIRK@CUANSCHUTZ.EDU","To provide support for the Macular Degeneration Center at the University of Colorado Anschutz Medical Campus.
","","Thursday, April 15, 2021","0222876","","0","1","CU Anschutz","Department of Ophthalmology, Macular Degeneration Center","Science, Research & Innovation"
"Ophthalmology Dry Eye Center Program Support Fund","EMILY.SPIRK@CUANSCHUTZ.EDU","To provide program support for the Department of Ophthalmology Dry Eye Center including diagnostic equipment, medical supplies and travel to improve understanding, care, and education for dry eye syndrome patients.
","","Thursday, April 15, 2021","0222988","","0","1","CU Anschutz","Department of Ophthalmology","Science, Research & Innovation"
"Kahook Glaucoma Research Fund","EMILY.SPIRK@CUANSCHUTZ.EDU","To provide support for glaucoma and anterior segment disease research (clinical, basic, or translational) currently directed by Dr. Kahook through work done within the Department of Ophthalmology at the University of Colorado Anschutz Medical Campus.
","","Thursday, April 15, 2021","0223394","","0","1","CU Anschutz","Department of Ophthalmology","Science, Research & Innovation"
"Sue Anschutz-Rodgers Eye Center Endowed Fund","EMILY.SPIRK@CUANSCHUTZ.EDU","To support the research goals of the Sue Anschutz-Rodgers Eye Center at the direction of the Chair of the Department of Ophthalmology.
","","Thursday, April 15, 2021","0250363","","0","1","CU Anschutz","Department of Ophthalmology","Science, Research & Innovation"
"Laura Dus & Sam Schiro Breast Cancer Research Fund","STACEY.BOEHMER@CUANSCHUTZ.EDU","To provide support for breast cancer research, currently under the direction of Dr. Jennifer Diamond, at the University of Colorado Cancer within the School of Medicine at the University of Anschutz Medical Campus, in memory of Margaret Amini.
","","Thursday, April 15, 2021","0221556","","0","1","CU Anschutz","School of Medicine, Cancer Center",""
"Global Intercultural Research Center (GLINT) Fund","jhusman@uccs.edu","To provide programmatic and operational support for Global Intercultural Research Center (GLINT) research and programming including the GLINT Seed Grant competition for faculty and students to engage in global and/or intercultural research.
","","Wednesday, April 14, 2021","0421039","","0","1","UCCS","Chancellor's Office","Science, Research & Innovation"
"Brandon Campbell Memorial Endowment for Grief and Bereavement Support","EMILY.SPIRK@CUANSCHUTZ.EDU","To provide support for the Division of Internal Medicine in the Department of Medicine in the School of Medicine at the University of Colorado Anschutz Medical Campus.
","","Wednesday, April 14, 2021","0250461","","0","1","CU Anschutz","General Internal Medicine","Health & Wellness"
"Pay It Forward Pharmacy Alumni Scholarship Fund","KAILYN.GRAMLY@CUANSCHUTZ.EDU","To provide support for one-year scholarship awards, including research-related expenses, for fourth-year students enrolled in the Skaggs School of Pharmacy and Pharmaceutical Sciences at Anschutz. If $25,000 is reached, fund will convert to an endowment.
","","Tuesday, April 13, 2021","0221555","","0","1","CU Anschutz","Skaggs School of Pharmacy and Pharmaceutical Sciences","Scholarships & Student Success"
"Barbara Davis Center Basic Research Fund","TAYLOR.STIMPSON@CUANSCHUTZ.EDU","To provide research support for human autoimmune type 1 diabetes currently under the direction of Dr. Holger Russ at the Barbara Davis Center for Diabetes at the University of Colorado Anschutz Medical Campus.
","","Monday, April 12, 2021","0221484","","0","1","CU Anschutz","Barbara Davis Center","Science, Research & Innovation"
"Florence G. Strauss Indigenous Medicine Collection Fund","STACEY.BOEHMER@CUANSCHUTZ.EDU","To provide support for the Florence G. Strauss Indigenous medicine collection at the University of Colorado Anschutz Medical Campus library.
","","Friday, April 9, 2021","0221537","","0","1","CU Anschutz","",""
"Florence G. Strauss Integrative Medicine Endowed Fund","STACEY.BOEHMER@CUANSCHUTZ.EDU","To provide support for the Strauss-Wisneski Indigenous and Integrative Medicine Collection as well as funding for a faculty position at the Health Sciences Library at the University of Colorado Anschutz Medical Campus.
","","Friday, April 9, 2021","0230075","","0","0","CU Anschutz","",""
"Teri Leiker Memorial Marching Band Scholarship","caitlin.stokes@colorado.edu","To provide support for scholarships for students in the marching band at the University of Colorado Boulder.
","","Monday, April 5, 2021","0121638","","0","1","CU Boulder","Golden Buffalo Marching Band, College of Music","Arts & Culture"
"Don Ringsby Memorial Fund","","To provide support for the Helen and Arthur E. Johnson Depression Center at the University of Colorado Anschutz Medical Campus.
","","Friday, April 2, 2021","0221530","","0","1","CU Anschutz","",""
"Aquetza Academic Summer Program Fund","Grace.Maniscalco@Colorado.EDU","To provide support for the Aquetza Academic Summer Program in the School of Education at the University of Colorado Boulder.
","","Thursday, April 1, 2021","0121543","","0","1","CU Boulder","School of Education","Scholarships & Student Success"
"Geoff Goral Memorial Scholarship Fund","Shayla.DeYoung@colorado.edu","To provide scholarship support for a junior or senior student in the lighting program in Architectural Engineering Program the Department of Civil, Environmental and Architectural Engineering at CU Boulder in memory of Geoff Goral.
","","Monday, March 29, 2021","0121544","","0","1","CU Boulder","College of Engineering and Applied Science","Scholarships & Student Success"
"CEAS Back a Buff Income Share Agreement Support Fund","Shayla.DeYoung@colorado.edu","To provide support for need-based junior and senior students in the College of Engineering and Applied Science (CEAS) at the University of Colorado Boulder via income share agreements.
","","Thursday, March 25, 2021","0121536","","0","1","CU Boulder","College of Engineering and Applied Science","Scholarships & Student Success"
"Patrick Browne Memorial Fund","JENNIFER.DAILEY@UCDENVER.EDU","To provide scholarship support for veteran and military connected students at the University of Colorado Denver and at the University of Colorado Anshcutz Medical Campus.
","Gifts made to this fund will help establish a scholarship in memory of Patrick Browne, CU Denver alumnus and Director of Veteran and Military Student Services.
","","0321008","","0","1","CU Denver","Veteran and Military Connected Student Services","Scholarships & Student Success"
"Gilbert White Graduate Research Fellowship Fund","Christine.HerreraODell@Colorado.EDU","To provide fellowship support in the form of stipend and/or tuition for graduate students pursuing a Ph.D. in one of the disciplines represented within the Institute of Behavioral Science.
","Named after the Natural Hazards Center's founder and long-time mentor, the Gilbert F. White Graduate Research Fellowship in Natural Hazards Mitigation will honor White by reflecting his life-long dedication to furthering knowledge and research regarding ways to alleviate the human suffering caused by natural hazards. The fund will ensure that hazards mitigation remains a central concern of academic scholarship. The fellowship will be open to any scholar in a relevant social science discipline and will reside at the Natural Hazards Center.
","","0150669","","0","1","CU Boulder","Institute of Behavioral Science, Graduate School, Natural Hazards Center","Scholarships & Student Success"
"Natural Hazards Center Disability and Disasters Award Fund","Christine.HerreraODell@Colorado.EDU","To provide support for awards for students or professionals studying or working in the field of disaster management at the University of Colorado Boulder.
","","Wednesday, March 17, 2021","0126087","","0","1","CU Boulder","Institute of Behavioral Science, Natural Hazards Center","Scholarships & Student Success"
"CU Art Museum Endowed Student Program Fund","Christine.HerreraODell@Colorado.EDU","To provide programmatic support for the CU Art Museum at the University of Colorado Boulder to ensure student employees have opportunities for professional growth including trainings, and skill building to engage in a broad range of museum work.
","","Wednesday, March 17, 2021","0151690","","0","1","CU Boulder","College of Arts and Sciences, CU Art Museum","Arts & Culture"
"Pediatric and Adolescent Gynecology Support Fund","KAILYN.GRAMLY@CUANSCHUTZ.EDU","To provide support for research and clinical applications as directed by the pediatric and adolescent gynecology team at the University Anschutz Medical Campus
","","Thursday, March 11, 2021","0221352","","0","1","CU Anschutz","School of Medicine, Obstetrics and Gynecology","Science, Research & Innovation"
"Lisa Shearrer Memorial Fund","MONICA.CUTLER@UCDENVER.EDU","To provide support for the University of Colorado Denver in memory of Lisa Shearrer.
","Lisa Shearrer passed away February 26, 2021, at the age of 54, after a two-year battle with cancer. A deputy in the Denver Sherriff’s Department, Lisa was inspired to help the women she served, many of whom she in turn inspired with her kindness and compassion. She asked that her family establish a scholarship at the University of Colorado Denver, from which her son Connor graduated, to benefit women like those she met in her work, women whose means were few but whose talent she hoped could be recognized and rewarded with higher education. 

 
","","0321006","","0","1","CU Denver","",""
"IBS Diversity, Equity and Inclusion Support Fund","Eric.Horner@Colorado.EDU","To provide discretionary support for equity, diversity & inclusion programming in IBS to enhance recruitment, mentoring & training of next generation researchers with diverse backgrounds. If $25,000 is reached, fund will convert to a quasi endowment.
","","Thursday, March 11, 2021","0121524","","0","1","CU Boulder","Institute of Behavioral Science","Science, Research & Innovation"
" College of Nursing Staff and Faculty Caring Fund","STACEY.BOEHMER@CUANSCHUTZ.EDU","To provide support to honor and recognize employees in the College of Nursing at the University of Colorado Anschutz, including flowers, a gifts, or a similar acknowledgement to faculty and staff members who experience a significant life event
","","Wednesday, March 10, 2021","0221383","","0","1","CU Anschutz","College of Nursing",""
"CU Art Museum Endowed Diversity Acquisition Fund","Christine.HerreraODell@Colorado.EDU","To support the acquisition of artworks by historically underrepresented artists at UCB. Underrepresented artists may include artists of color, artists with disabilities and LGBTQ+ artists.
","","Tuesday, March 9, 2021","0151689","","0","1","CU Boulder","College of Arts and Sciences, CU Art Museum","Arts & Culture"
